rule_id,dataset,field,rule,missing_value_policy,reason,pipeline_version
C01,All datasets,All rows,Remove exact duplicate rows.,Not applicable,Prevents double counting identical records.,1.0
C02,Crunchbase,permalink,Keep the first row for a duplicated permalink.,Identifier should be present,Permalink is the company-level identifier.,1.0
C03,Synthetic metrics,startup_id,"Trim, uppercase, and keep the first duplicated ID.",Identifier should be present,One row is required per synthetic startup.,1.0
C04,All company tables,Company name,Trim text and create a lowercase alphanumeric name key.,Keep missing names flagged,Supports review of possible matches without automatic joins.,1.0
C05,Crunchbase,status,Trim and convert status to lowercase.,Keep missing status for review,"Creates consistent operating, closed, acquired, and IPO labels.",1.0
C06,Crunchbase,category_list,Trim separators and use the first category as primary_category.,Use explicit Unknown category,Supports consistent category and peer-cohort analysis.,1.0
C07,Crunchbase,Location fields,Trim text; uppercase country code.,Use explicit Unknown text,Preserves records while making missing geography visible.,1.0
C08,Crunchbase,funding_total_usd,Convert to numeric US dollars.,"Dash or invalid text becomes missing, never zero",Zero funding and unreported funding have different meanings.,1.0
C09,Crunchbase,Date fields,Parse founding and funding dates with invalid values as missing.,Keep missing date,Avoids inventing dates and enables date-order checks.,1.0
C10,Failure tables,Failure flags,Convert measured flags to binary 0 or 1.,"A flag absent from a source file remains missing, not zero",Missing coverage is not evidence that a factor was absent.,1.0
C11,Failure tables,How Much They Raised,"Parse K, M, and B suffixes into numeric US dollars.",Unclear values remain missing and are flagged,Preserves the original text while enabling numeric analysis.,1.0
C12,Failure tables,Years of Operation,Extract the first and last four-digit years.,Unparseable years remain missing,Supports approximate operating-duration analysis.,1.0
C13,Synthetic metrics,Numeric metrics,Convert metrics to numeric and replace negative values with missing.,Invalid or negative values remain missing,Negative values are invalid for the supplied operating metrics.,1.0
C14,Synthetic metrics,LTV/CAC and runway,Recalculate and compare with supplied values.,Invalid calculations make the row ineligible,Confirms the two core diagnostic measures.,1.0
C15,All datasets,Cross-dataset matches,Do not join datasets unless company identity is manually verified.,Not applicable,A normalized name alone is not a reliable company match.,1.0
