check_id,area,check,status,observed,expected,pipeline_version
Q01,Crunchbase,Expected row count,PASS,66368,66368,1.0
Q02,Crunchbase,Unique permalink,PASS,0,0,1.0
Q03,Crunchbase,Valid observed statuses,PASS,"['acquired', 'closed', 'ipo', 'operating']","operating, closed, acquired, ipo",1.0
Q04,Crunchbase,No negative reported funding,PASS,0,0,1.0
Q05,Crunchbase,No negative valid funding delay,PASS,0,0,1.0
Q06,Failure,Expected row count,PASS,409,409,1.0
Q07,Failure,Unique failure record ID,PASS,0,0,1.0
Q08,Failure,Failure flags are binary or missing,PASS,0,0,1.0
Q09,Failure,Failure-factor count reproduces,PASS,0,0,1.0
Q10,Metrics,Expected row count,PASS,200,200,1.0
Q11,Metrics,Unique startup ID,PASS,0,0,1.0
Q12,Metrics,All LTV/CAC calculations valid,PASS,0,0,1.0
Q13,Metrics,All runway calculations valid,PASS,0,0,1.0
Q14,Metrics,All rows analysis eligible,PASS,0,0,1.0
Q15,Final outputs,Required diagnostic fields are complete,PASS,0,0,1.0
Q16,Final outputs,Startup diagnostics cover 200 startups,PASS,200,200,1.0
Q17,Final outputs,Three ranked risks per sector,PASS,"{'Accommodation and Food Services': 3, 'Finance and Insurance': 3, 'Health Care': 3, 'Information': 3, 'Manufacturing': 3, 'Retail Trade': 3}",3 per sector,1.0
Q18,Final outputs,Funding diagnostics reproduce eligible population,PASS,15878,15878,1.0
Q19,Pipeline,Rerun script exists,PASS,True,True,1.0
