assumption_id,topic,assumption,interpretation_limit,pipeline_version
A01,Company age,"Reference date is 2015-12-31, the end of the latest first-funding year.",Company age is not confirmed operating lifespan.,1.0
A02,Funding missingness,"Missing funding is unknown, not zero.",Companies without reported funding are excluded from funding benchmarks.,1.0
A03,Failure flag coverage,An unmeasured failure flag remains missing.,Sector prevalence uses available measurements and requires caution.,1.0
A04,Failure population,The detailed failure dataset contains failed startups only.,It cannot estimate an active startup's probability of failure.,1.0
A05,Observed status,"Operating, closed, acquired, and IPO are observed labels.",Operating is not proof of success; acquisition is not always positive.,1.0
A06,Observed exit,Acquired or IPO is grouped as an observed exit.,"This is a descriptive outcome, not a complete success definition.",1.0
A07,Health data,The operating-metrics dataset is synthetic.,"Health counts demonstrate the method, not real population risk.",1.0
A08,High health risk,High Risk means runway under 6 months or LTV/CAC at or below 2.,"Thresholds are screening rules, not universal laws.",1.0
A09,Healthy status,Healthy means runway at least 12 months and LTV/CAC above 3.,Other product and market risks can still exist.,1.0
A10,Health ranking,Runway and unit economics use three severity levels; runway wins an exact tie.,The tie rule follows the more frequent validated signal.,1.0
A11,Failure archetype,Exact combinations preserve multi-factor failure patterns.,Combinations are descriptive and can be fragmented.,1.0
A12,Peer cohort,"Funding peers share primary category, country, and founding-period cohort.",Different peer definitions can change benchmarks.,1.0
A13,Eligible cohort,Funding benchmark requires at least 30 funded records and 5 observed exits.,This removes very small or outcome-sparse cohorts.,1.0
A14,Funding position,"Bottom 25%, middle 50%, and top 25% are based on within-cohort funding percentile.",Relative funding does not establish cash adequacy.,1.0
A15,Class imbalance,Funding holdout testing uses stratification and balanced class weights.,Balanced metrics are reported instead of accuracy alone.,1.0
A16,Uncertainty,"Bootstrap intervals use 2,000 resamples and random seed 42.","Intervals describe sampling uncertainty, not all data bias.",1.0
A17,Causality,All findings use observational or synthetic data.,"Use associated with, co-occurs, or flags; avoid causal claims.",1.0
A18,Dataset separation,The three principal datasets remain separate.,Integrated client diagnosis requires verified identity and current client data.,1.0
