Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,name_normalized,start_year,end_year,funding_raised_usd,funding_needs_review,High Operational Costs,duplicate_name
Airware,Manufacturing,2011-2018,Drone hardware/software for industry,$70M,Lost to DJI and high costs,Drones need simplicity,1,1,1,0,0,0,0,0,0,0,0,0,0,airware,2011,2018,70000000.0,False,,False
Anki,Manufacturing,2010-2019,AI-powered toy robots,$200M,High costs and competition from Lego/Sphero,Consumer hardware needs mass pricing,1,1,1,0,0,0,0,0,0,0,0,0,0,anki,2010,2019,200000000.0,False,,False
Aptera Motors,Manufacturing,2005-2011,Three-wheeled electric vehicles,$40M,Lost to Tesla and quirky design,EVs need mainstream appeal,1,0,1,1,0,0,0,0,0,0,0,0,0,apteramotors,2005,2011,40000000.0,False,,False
Aria Insights,Manufacturing,2008-2019,Tethered industrial drones,$39M,Small market and lost to DJI/Skydio,Hardware niches need big adopters,1,0,1,1,0,0,0,1,0,0,0,0,0,ariainsights,2008,2019,39000000.0,False,,False
August Home,Manufacturing,2012-2017,Smart locks and doorbells,$73M,Lost to Ring/Nest and acquired,Smart home needs ecosystem power,1,0,1,0,1,0,0,0,0,0,0,0,0,augusthome,2012,2017,73000000.0,False,,False
BeagleBone,Manufacturing,2011-2018,Open-source computers,$5M,Lost to Raspberry Pi and small niche,Open-source needs community,1,0,1,1,0,0,0,1,0,0,0,0,0,beaglebone,2011,2018,5000000.0,False,,False
Better Place,Manufacturing,2007-2013,EVs with swappable batteries,$850M,Lost to Tesla and high infra costs,Infra needs buy-in,1,1,1,0,0,0,0,0,0,0,0,0,0,betterplace,2007,2013,850000000.0,False,,False
Butterfly Network,Manufacturing,2011-2020,Handheld ultrasound device,$400M,Lost to GE/Philips and slow adoption,Medical hardware needs fast inroads,1,1,1,1,0,0,0,0,0,0,0,0,0,butterflynetwork,2011,2020,400000000.0,False,,False
Cubelets,Manufacturing,2011-2020,Modular toy robots,$10M,Lost to Lego/Sphero and niche focus,Edtech needs scale,1,0,1,1,0,0,0,1,0,0,0,0,0,cubelets,2011,2020,10000000.0,False,,False
Dyson's EV Project,Manufacturing,2017-2019,Electric vehicle,$2.7B,Lost to Tesla/Nio and high costs,EVs are a giant’s game,1,1,1,0,0,0,0,0,0,0,0,0,1,dysonsevproject,2017,2019,2700000000.0,False,,False
