Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,name_normalized,start_year,end_year,funding_raised_usd,funding_needs_review,High Operational Costs,duplicate_name
Avant,Finance and Insurance,2012-2023,Online personal loans,$655M,Lost to LendingClub and high defaults,Lending needs risk balance,1,1,1,0,0,0,0,0,0,0,0,0,0,avant,2012,2023,655000000.0,False,,False
Bitpass,Finance and Insurance,2002-2008,Micropayments platform,$2M,Lost to PayPal and low adoption,Micropayments need mass use,1,0,1,1,0,0,0,0,0,0,0,0,0,bitpass,2002,2008,2000000.0,False,,False
Cake Financial,Finance and Insurance,2006-2011,Portfolio tracking tool,$3M,Lost to Mint and sold to TradeKing,Finance tools need scale,1,0,1,0,1,0,0,0,0,0,0,0,0,cakefinancial,2006,2011,3000000.0,False,,False
Circle,Finance and Insurance,2013-2023,Crypto payments and stablecoin,$500M,Lost to Coinbase and market shifts,Crypto needs stability,1,0,1,0,0,0,0,0,0,1,0,0,0,circle,2013,2023,500000000.0,False,,False
Clarity Money,Finance and Insurance,2016-2022,Personal finance app,$11M,Lost to Mint/Acorns and sold to Goldman,Finance apps need edge,1,0,1,0,1,0,0,0,0,0,0,0,0,claritymoney,2016,2022,11000000.0,False,,False
Clinkle,Finance and Insurance,2011-2016,Mobile wallet,$30M,No product vs Apple Pay/PayPal,Execution over promises,1,0,1,0,0,0,0,0,1,0,0,0,1,clinkle,2011,2016,30000000.0,False,,False
Coinbase NFT,Finance and Insurance,2021-2023,NFT marketplace,$0 (Coinbase-funded),Lost to OpenSea and NFT crash,NFTs need timing,1,0,1,0,0,0,0,0,0,1,0,0,0,coinbasenft,2021,2023,0.0,True,,False
FundersClub,Finance and Insurance,2012-2022,Crowdfunding for startups,$20M,Lost to Kickstarter and low ROI,Crowdfunding needs hits,1,0,1,0,0,0,1,0,0,0,0,0,0,fundersclub,2012,2022,20000000.0,False,,False
Fuze Network,Finance and Insurance,2010-2016,Prepaid card payments,$5M,Lost to Green Dot and small scale,Prepaid needs reach,1,0,1,0,0,0,0,1,0,0,0,0,0,fuzenetwork,2010,2016,5000000.0,False,,False
Indiegogo Life,Finance and Insurance,2014-2019,Personal crowdfunding,$10M (est.),Lost to GoFundMe and niche focus,Personal funding needs appeal,1,0,1,1,0,0,0,1,0,0,0,0,0,indiegogolife,2014,2019,10000000.0,True,,False
Isentium,Finance and Insurance,2012-2020,Social sentiment for trading,$15M,Lost to Bloomberg and low uptake,Trading tools need traction,1,0,1,1,0,0,0,0,0,0,0,0,0,isentium,2012,2020,15000000.0,False,,False
LendUp,Finance and Insurance,2012-2021,Loans for subprime borrowers,$350M,Regulatory fines and OppLoans competition,Fintech can’t skirt regs,1,0,1,0,0,0,0,0,0,0,1,1,0,lendup,2012,2021,350000000.0,False,,False
LendingClub,Finance and Insurance,2006-2021,P2P lending platform,$1B,Lost to banks and trust issues,P2P needs trust,1,0,1,0,0,0,0,0,0,0,1,0,0,lendingclub,2006,2021,1000000000.0,False,,False
LendLayer,Finance and Insurance,2013-2017,Coding bootcamp loans,$0.4M,Lost to Affirm and sold,Small niches get swallowed,1,0,1,0,1,0,0,1,0,0,0,0,0,lendlayer,2013,2017,400000.0,False,,False
Loyal3,Finance and Insurance,2008-2018,Commission-free brokerage,$30M,Lost to Robinhood and closed,Brokerages need volume,1,0,1,0,0,0,0,0,0,0,0,0,0,loyal3,2008,2018,30000000.0,False,,False
Money360,Finance and Insurance,2012-2020,Real estate lending platform,$10M (est.),Lost to Fundrise and slow growth,Lending needs scale,1,0,1,0,0,0,0,0,0,0,0,0,0,money360,2012,2020,10000000.0,True,,False
Monitor110,Finance and Insurance,2005-2008,Financial data aggregator,$3M (est.),Lost to Bloomberg and early market,Timing is key,1,0,1,1,0,0,0,0,0,0,0,0,0,monitor110,2005,2008,3000000.0,True,,False
