Sector,bottleneck_rank,ranked_bottleneck,priority,supporting_evidence,historical_prevalence_pct,sector_failure_records,possible_causes,recommended_test,KPI,success_signal,evidence_limit
Accommodation and Food Services,1,Competitive pressure,Investigate,Recorded in 65.4% of 26 failed-startup records in this sector.,65.4,26,"Weak differentiation, incumbent distribution advantage, high switching cost, or an unclear target segment.",Run ten segment-specific win/loss interviews and compare why customers choose the startup or an incumbent.,Target-segment win rate,Win rate improves after a specific positioning or product test.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Accommodation and Food Services,2,High Operational Costs,Investigate,Recorded in 53.8% of 26 failed-startup records in this sector.,53.8,26,"Low gross margin, expensive delivery, unused capacity, or high support requirements.",Calculate contribution margin by product or customer segment and redesign the largest cost driver.,Contribution margin (%),Contribution margin improves without reducing retained value.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Accommodation and Food Services,3,No Budget,Investigate,Recorded in 23.1% of 26 failed-startup records in this sector.,23.1,26,"Burn exceeds financing capacity, margins are weak, or the plan requires more capital than expected.",Build base and downside cash scenarios through the next product or revenue milestone.,Runway months,A funded plan reaches the next milestone with a cash buffer.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Finance and Insurance,1,Competitive pressure,Investigate,Recorded in 95.7% of 47 failed-startup records in this sector.,95.7,47,"Weak differentiation, incumbent distribution advantage, high switching cost, or an unclear target segment.",Run ten segment-specific win/loss interviews and compare why customers choose the startup or an incumbent.,Target-segment win rate,Win rate improves after a specific positioning or product test.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Finance and Insurance,2,Acquisition Stagnation,Investigate,Recorded in 25.5% of 47 failed-startup records in this sector.,25.5,47,"Weak channel fit, poor conversion, slow activation, or early customer churn.",Measure the acquisition-to-activation funnel by channel and pause the weakest channel.,Qualified activation rate,Activation rises while CAC remains stable or falls.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Finance and Insurance,3,Poor Market Fit,Investigate,Recorded in 23.4% of 47 failed-startup records in this sector.,23.4,47,"Low problem urgency, wrong segment, weak willingness to pay, or a solution that does not fit the workflow.",Run problem and willingness-to-pay interviews in one clearly defined customer segment.,Target-segment activation rate,Activation and retained use improve in the tested segment.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Health Care,1,Competitive pressure,Investigate,Recorded in 56.7% of 60 failed-startup records in this sector.,56.7,60,"Weak differentiation, incumbent distribution advantage, high switching cost, or an unclear target segment.",Run ten segment-specific win/loss interviews and compare why customers choose the startup or an incumbent.,Target-segment win rate,Win rate improves after a specific positioning or product test.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Health Care,2,Poor Market Fit,Investigate,Recorded in 46.7% of 60 failed-startup records in this sector.,46.7,60,"Low problem urgency, wrong segment, weak willingness to pay, or a solution that does not fit the workflow.",Run problem and willingness-to-pay interviews in one clearly defined customer segment.,Target-segment activation rate,Activation and retained use improve in the tested segment.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Health Care,3,No Budget,Investigate,Recorded in 38.3% of 60 failed-startup records in this sector.,38.3,60,"Burn exceeds financing capacity, margins are weak, or the plan requires more capital than expected.",Build base and downside cash scenarios through the next product or revenue milestone.,Runway months,A funded plan reaches the next milestone with a cash buffer.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
Information,1,Competitive pressure,Investigate,Recorded in 58.3% of 156 failed-startup records in this sector.,58.3,156,"Weak differentiation, incumbent distribution advantage, high switching cost, or an unclear target segment.",Run ten segment-specific win/loss interviews and compare why customers choose the startup or an incumbent.,Target-segment win rate,Win rate improves after a specific positioning or product test.,"Failure-only historical data; this is a hypothesis, not a sector failure probability or causal estimate."
